trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
365,False,"{'a': 0.002, 'e': 0.48287377253122976}",20,0,-39.43950974587918,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
366,False,"{'a': 0.002, 'e': 0.48190899009020244}",30,0,-68.23131007811897,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
367,False,"{'a': 0.002, 'e': 0.480946135285778}",25,3,-81.9405839739449,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
368,False,"{'a': 0.002, 'e': 0.479985204266536}",25,16,-35.28765569591274,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
369,False,"{'a': 0.002, 'e': 0.4790261931887511}",25,0,-181.7816734576461,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
370,False,"{'a': 0.002, 'e': 0.4780690982163776}",25,19,12.784899065471155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.002, 'e': 0.4771139155210344}",20,0,-58.24815423340605,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
372,False,"{'a': 0.002, 'e': 0.4761606412819894}",25,0,-68.58652701629634,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
373,False,"{'a': 0.002, 'e': 0.47520927168614446}",25,0,-9.374587659283787,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
374,False,"{'a': 0.002, 'e': 0.4742598029280199}",20,0,-155.66188680993903,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
375,False,"{'a': 0.002, 'e': 0.4733122312097393}",25,0,-23.982856434536867,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
376,False,"{'a': 0.002, 'e': 0.4723665527410147}",30,19,5.800638030963071,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
377,False,"{'a': 0.002, 'e': 0.4714227637391309}",25,16,-9.493539790920831,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
378,False,"{'a': 0.002, 'e': 0.47048086042893056}",20,0,-35.408288472702715,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
379,False,"{'a': 0.002, 'e': 0.46954083904279925}",20,8,-18.55106632579662,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
380,False,"{'a': 0.002, 'e': 0.46860269582065023}",20,3,-1.5406937249984707,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
381,False,"{'a': 0.002, 'e': 0.46766642700990924}",30,3,-24.204097470510998,"{0: 23, 1: 0, 2: 2, 3: 2, 4: 0}",1
382,False,"{'a': 0.002, 'e': 0.46673202886549986}",25,12,-8.846119949245509,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
383,False,"{'a': 0.002, 'e': 0.46579949764982825}",20,8,-26.640092529687017,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
384,False,"{'a': 0.002, 'e': 0.46486882963276827}",20,0,-111.39326794331677,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
385,False,"{'a': 0.002, 'e': 0.4639400210916467}",20,0,-38.14375085828523,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
386,False,"{'a': 0.002, 'e': 0.46301306831122807}",25,0,-31.908820443742005,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
387,False,"{'a': 0.002, 'e': 0.4620879675837}",20,14,8.760535062742981,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.002, 'e': 0.4611647152086584}",20,0,-46.0519188827572,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
